GENERAL INFO
#tweets = 20,073,516
#exluded tweets = 1,877,421
#total words in tweets = 436,998,339 
------------------------------------------------------------

a - word
b - count
c - %_of_total_words

	a	b    	c      
0	לא	5279552	1.21
1	את	4332161	0.99
2	זה	3304442	0.76
3	של	2916152	0.67
4	על	2532411	0.58
5	אני	1947513	0.45
6	מה	1605867	0.37
7	עם	1447225	0.33
8	הוא	1346703	0.31
9	כל	1191993	0.27
10	אבל	1167320	0.27
11	גם	1131752	0.26
12	יש	1115416	0.26
13	לי	1114393	0.26
14	אם	999950	0.23
15	אתה	974039	0.22
16	רק	822003	0.19
17	או	770870	0.18
18	היה	733686	0.17
19	אין	713878	0.16
20	יותר	696484	0.16
21	אז	686386	0.16
22	לך	673394	0.15
23	היא	668486	0.15
24	כי	648540	0.15
25	טוב	599601	0.14
26	הם	591441	0.14
27	מי	582815	0.13
28	כמו	567855	0.13
29	שלא	548853	0.13
30	כבר	499920	0.11
31	עוד	492687	0.11
32	שלי	482031	0.11
33	אחד	480516	0.11
34	למה	477428	0.11
35	לו	475769	0.11
36	ולא	462359	0.11
37	הזה	461840	0.11
38	ישראל	431837	0.1
39	אותו	406953	0.09
40	כמה	405281	0.09
41	שלך	392719	0.09
42	שהוא	390819	0.09
43	כן	390444	0.09
44	איך	381935	0.09
45	צריך	378118	0.09
46	להיות	372780	0.09
47	כך	371705	0.09
48	היום	370798	0.08
49	שלו	332849	0.08
50	שם	332341	0.08
51	עכשיו	328074	0.08
52	עד	325989	0.07
53	ממש	313910	0.07
54	שאני	310553	0.07
55	שזה	307105	0.07
56	כדי	297676	0.07
57	איזה	296435	0.07
58	תודה	292043	0.07
59	זו	289236	0.07
60	אחרי	288772	0.07
61	הרבה	283782	0.06
62	להם	281551	0.06
63	לפני	281105	0.06
64	ביבי	277616	0.06
65	פעם	274302	0.06
66	אותי	267732	0.06
67	נתניהו	266555	0.06
68	באמת	264683	0.06
69	נראה	264030	0.06
70	פה	263656	0.06
71	רוצה	261700	0.06
72	הכי	260041	0.06
73	אפשר	259579	0.06
74	מאוד	257727	0.06
75	שיש	257004	0.06
76	אל	255150	0.06
77	יכול	253048	0.06
78	אולי	252634	0.06
79	משהו	252300	0.06
80	אנשים	249019	0.06
81	יודע	244299	0.06
82	נכון	242583	0.06
83	בכל	242198	0.06
84	שאתה	239037	0.05
85	אנחנו	235299	0.05
86	יום	234993	0.05
87	בין	234142	0.05
88	הכל	232888	0.05
89	בלי	232886	0.05
90	יהיה	232246	0.05
91	זאת	232072	0.05
92	פשוט	231135	0.05
93	ראש	220933	0.05
94	היו	220856	0.05
95	דבר	218101	0.05
96	לנו	217094	0.05
97	לעשות	215458	0.05
98	אותך	212008	0.05
99	אתם	208624	0.05
100	ככה	208483	0.05
101	נגד	207392	0.05
102	וגם	204063	0.05
103	בדיוק	200878	0.05
104	הייתי	200185	0.05
105	קצת	191201	0.04
106	אותם	190694	0.04
107	אדם	190188	0.04
108	אומר	185599	0.04
109	בגלל	184905	0.04
110	שהם	184158	0.04
111	כזה	182033	0.04
112	שנים	180898	0.04
113	לה	180208	0.04
114	וזה	180032	0.04
115	אותה	176331	0.04
116	עושה	176308	0.04
117	בכלל	174599	0.04
118	שלהם	171859	0.04
119	בן	170946	0.04
120	כאן	170723	0.04
121	ברור	168469	0.04
122	אחת	168433	0.04
123	עדיין	166228	0.04
124	המדינה	165314	0.04
125	תמיד	165117	0.04
126	הממשלה	163068	0.04
127	ואני	162858	0.04
128	אף	157104	0.04
129	שנה	156009	0.04
130	חושב	151597	0.03
131	אפילו	149982	0.03
132	אחר	149893	0.03
133	שלנו	149260	0.03
134	מישהו	148914	0.03
135	לכל	148750	0.03
136	בו	148111	0.03
137	מבין	147974	0.03
138	מעניין	147863	0.03
139	שהיא	144446	0.03
140	אלא	141958	0.03
141	שני	141128	0.03
142	שום	139028	0.03
143	כולם	138926	0.03
144	כנראה	138778	0.03
145	די	137538	0.03
146	איפה	137082	0.03
147	במקום	136541	0.03
148	פחות	134724	0.03
149	האם	134527	0.03
150	יפה	133628	0.03
151	לכם	132445	0.03
152	קשה	130796	0.03
153	ואז	130690	0.03
154	זמן	129813	0.03
155	בית	128382	0.03
156	בשביל	128025	0.03
157	שלה	127267	0.03
158	שוב	126051	0.03
159	כלום	125915	0.03
160	הזמן	121596	0.03
161	בבית	120628	0.03
162	חוק	119868	0.03
163	דברים	119832	0.03
164	השמאל	119677	0.03
165	שאין	119437	0.03
166	לראות	119208	0.03
167	הייתה	119137	0.03
168	שלום	118244	0.03
169	הזו	117304	0.03
170	אמר	116723	0.03
171	ללא	115784	0.03
172	טובה	115612	0.03
173	סתם	112902	0.03
174	לזה	111822	0.03
175	לפחות	111567	0.03
176	מול	111326	0.03
177	גדול	111009	0.03
178	עליו	108821	0.02
179	אחרת	108606	0.02
180	לגמרי	108301	0.02
181	מספיק	107543	0.02
182	רואה	106694	0.02
183	הזאת	106623	0.02
184	נו	105847	0.02
185	ועוד	105498	0.02
186	בטוח	105459	0.02
187	בוקר	104992	0.02
188	מקום	104480	0.02
189	היתה	104265	0.02
190	מזל	103983	0.02
191	בישראל	102697	0.02
192	לפי	99917	0.02
193	מזה	99688	0.02
194	שאת	99386	0.02
195	כאילו	98892	0.02
196	ממשלה	98479	0.02
197	חיים	97659	0.02
198	בסדר	96828	0.02
199	איש	96399	0.02
200	חשוב	96335	0.02
201	בני	96314	0.02
202	בא	95648	0.02
203	שר	95376	0.02
204	בעולם	94139	0.02
205	אגב	93882	0.02
206	תהיה	93333	0.02
207	אי	93113	0.02
208	האמת	93054	0.02
209	צודק	91941	0.02
210	עושים	91453	0.02
211	להגיד	91186	0.02
212	לב	91060	0.02
213	כסף	89547	0.02
214	דרך	89465	0.02
215	האלה	88928	0.02
216	דווקא	88927	0.02
217	סוף	88835	0.02
218	ביותר	88791	0.02
219	לפיד	88673	0.02
220	מדינה	88618	0.02
221	חבל	88485	0.02
222	מקווה	87455	0.02
223	חלק	87079	0.02
224	אביב	86642	0.02
225	מתי	86543	0.02
226	בטח	86190	0.02
227	שכל	86039	0.02
228	הבנתי	85984	0.02
229	והוא	84690	0.02
230	רוצים	84685	0.02
231	יהודים	84049	0.02
232	אצל	83967	0.02
233	החוק	83363	0.02
234	שלכם	83239	0.02
235	הבעיה	82977	0.02
236	ואת	82761	0.02
237	בזה	82358	0.02
238	כאלה	82121	0.02
239	שמאל	82083	0.02
240	יודעת	81989	0.02
241	חדש	81536	0.02
242	שבת	81182	0.02
243	הימין	80991	0.02
244	שהיה	80629	0.02
245	אוהב	80279	0.02
246	הולך	80273	0.02
247	נשים	80166	0.02
248	אלה	79945	0.02
249	היית	79893	0.02
250	יודעים	79588	0.02
251	אתמול	79571	0.02
252	צריכה	79402	0.02
253	העולם	79316	0.02
254	גנץ	78684	0.02
255	אותנו	78524	0.02
256	לדבר	78410	0.02
257	חוץ	78345	0.02
258	ביום	78086	0.02
259	מדי	78077	0.02
260	רגע	78059	0.02
261	בה	77961	0.02
262	הגיע	77369	0.02
263	מגיע	77230	0.02
264	העם	77171	0.02
265	ימין	77142	0.02
266	לגבי	76385	0.02
267	ילדים	76198	0.02
268	בהצלחה	75992	0.02
269	ומה	75953	0.02
270	לתת	75952	0.02
271	ואם	75795	0.02
272	מצב	75608	0.02
273	עצמו	75021	0.02
274	כמובן	74743	0.02
275	מלא	74527	0.02
276	קורה	74346	0.02
277	ראיתי	74029	0.02
278	הציבור	74022	0.02
279	המשפט	73824	0.02
280	אה	73781	0.02
281	העבודה	73778	0.02
282	מדבר	73518	0.02
283	הליכוד	73397	0.02
284	יכולה	73364	0.02
285	למי	73043	0.02
286	בסוף	72987	0.02
287	בדרך	72977	0.02
288	הבית	72740	0.02
289	הבחירות	72711	0.02
290	קרה	72519	0.02
291	למרות	72356	0.02
292	מחר	72252	0.02
293	לקבל	71666	0.02
294	עזה	71649	0.02
295	נשמע	71588	0.02
296	הכבוד	71425	0.02
297	חבר	71368	0.02
298	בעיה	71310	0.02
299	לדעתי	70717	0.02
300	מדובר	70641	0.02
301	אך	70575	0.02
302	שיהיה	70532	0.02
303	עשה	70509	0.02
304	עבודה	70214	0.02
305	כמעט	70003	0.02
306	מאד	69978	0.02
307	בארץ	69953	0.02
308	להבין	69880	0.02
309	שבוע	69625	0.02
310	מדינת	69483	0.02
311	חשבתי	69449	0.02
312	באופן	69365	0.02
313	צריכים	69256	0.02
314	שגם	68974	0.02
315	קשר	68689	0.02
316	שמח	68684	0.02
317	מאז	68679	0.02
318	ויש	68630	0.02
319	וכל	68578	0.02
320	מכל	68461	0.02
321	הבא	68294	0.02
322	טראמפ	68227	0.02
323	אכן	68218	0.02
324	בזמן	67461	0.02
325	משנה	67302	0.02
326	אחרים	67250	0.02
327	לאחר	67134	0.02
328	החיים	67046	0.02
329	חצי	66982	0.02
330	מכיר	66913	0.02
331	קודם	66823	0.02
332	הדבר	66439	0.02
333	בנט	66311	0.02
334	מספר	65951	0.02
335	מדהים	65628	0.02
336	גבאי	65369	0.01
337	בעד	65335	0.01
338	משחק	65166	0.01
339	עובד	65088	0.01
340	ברק	65088	0.01
341	הן	65066	0.01
342	היהודי	64252	0.01
343	רע	64144	0.01
344	חחח	64030	0.01
345	הראשון	63563	0.01
346	חייב	63281	0.01
347	לדעת	63011	0.01
348	מהם	62819	0.01
349	מאמין	62709	0.01
350	עדיף	62237	0.01
351	השני	62123	0.01
352	מעולה	61815	0.01
353	ידי	61582	0.01
354	וואו	61406	0.01
355	ממנו	61286	0.01
356	לקרוא	61074	0.01
357	שווה	60909	0.01
358	ולכן	60625	0.01
359	בושה	60484	0.01
360	לומר	60275	0.01
361	כיף	59735	0.01
362	קל	59641	0.01
363	מנסה	59537	0.01
364	הרי	59211	0.01
365	בעיקר	59100	0.01
366	רוב	58972	0.01
367	איתך	58834	0.01
368	מילה	58452	0.01
369	מסכים	58425	0.01
370	קטן	58211	0.01
371	אלו	58126	0.01
372	ראשון	57968	0.01
373	הבאה	57704	0.01
374	בהחלט	57676	0.01
375	שעות	57588	0.01
376	דקות	57420	0.01
377	"צה""ל"	57224	0.01
378	שצריך	56844	0.01
379	אוי	56652	0.01
380	אבא	56617	0.01
381	בהם	56568	0.01
382	שאלה	56546	0.01
383	יצא	56534	0.01
384	מעט	56435	0.01
385	רבה	56368	0.01
386	אמא	56229	0.01
387	בת	56218	0.01
388	בוא	56216	0.01
389	ואין	56200	0.01
390	יהיו	56021	0.01
391	יהודי	55726	0.01
392	בחירות	55018	0.01
393	כתב	54827	0.01
394	כולל	54686	0.01
395	שאנחנו	54666	0.01
396	כרגע	54520	0.01
397	יא	54469	0.01
398	במקרה	54321	0.01
399	המון	54291	0.01
400	ספר	54261	0.01
401	המשטרה	54164	0.01
402	יכולים	54158	0.01
403	בראש	53975	0.01
404	מצד	53962	0.01
405	סליחה	53832	0.01
406	אומרים	53807	0.01
407	חזק	53786	0.01
408	הבוקר	53785	0.01
409	ילד	53676	0.01
410	אחלה	53636	0.01
411	ואתה	53516	0.01
412	הארץ	53355	0.01
413	ספק	53327	0.01
414	בחיים	53206	0.01
415	השם	53195	0.01
416	להגיע	52901	0.01
417	ללכת	52784	0.01
418	הכנסת	52612	0.01
419	השאלה	52612	0.01
420	אמיתי	52282	0.01
421	עצוב	52194	0.01
422	כבוד	52026	0.01
423	בבקשה	51953	0.01
424	תמונה	51903	0.01
425	במדינה	51809	0.01
426	יאללה	51792	0.01
427	ימים	51587	0.01
428	איזו	51486	0.01
429	נורא	51480	0.01
430	איתו	51404	0.01
431	מנדטים	51298	0.01
432	ועל	51260	0.01
433	ירושלים	51183	0.01
434	לשמוע	51173	0.01
435	האחרון	51085	0.01
436	עניין	50834	0.01
437	האיש	50807	0.01
438	לפעמים	50741	0.01
439	שעה	50672	0.01
440	יאיר	50583	0.01
441	חמאס	50563	0.01
442	לקחת	50535	0.01
443	תל	50492	0.01
444	יקרה	50481	0.01
445	עליך	50464	0.01
446	השנה	50354	0.01
447	טובים	50250	0.01
448	קשור	50042	0.01
449	חברים	50031	0.01
450	בעצם	50015	0.01
451	הערב	49837	0.01
452	מקרה	49557	0.01
